sku_code,sku_name,category_name,price_level,markup_rate,price_yuan_per_kg,grid_source,history_days,history_unique_prices
102900005115250,西峡花菇(1),食用菌,1,0.41921716950679744,22.4,sku_history,132,26
102900005115250,西峡花菇(1),食用菌,2,0.5015824516656742,23.7,sku_history,132,26
102900005115250,西峡花菇(1),食用菌,3,0.5395971972774636,24.3,sku_history,132,26
102900005115250,西峡花菇(1),食用菌,4,0.5459329882127615,24.4,sku_history,132,26
102900005115250,西峡花菇(1),食用菌,5,0.6092908975657436,25.4,sku_history,132,26
102900005115762,苋菜,花叶类,1,0.43747388867025006,3.2,sku_history,184,49
102900005115762,苋菜,花叶类,2,0.5273160067121405,3.4,sku_history,184,49
102900005115762,苋菜,花叶类,3,0.6620791837749767,3.7,sku_history,184,49
102900005115762,苋菜,花叶类,4,0.8417634198587578,4.1,sku_history,184,49
102900005115779,云南生菜,花叶类,1,0.39824704839843883,8.0,sku_history,90,29
102900005115779,云南生菜,花叶类,2,0.5031155770283215,8.6,sku_history,90,29
102900005115779,云南生菜,花叶类,3,0.5555498413432631,8.9,sku_history,90,29
102900005115779,云南生菜,花叶类,4,0.6254621937631852,9.3,sku_history,90,29
102900005115779,云南生菜,花叶类,5,0.8526773391279312,10.6,sku_history,90,29
102900005115786,竹叶菜,花叶类,1,0.43141476908137855,3.1,sku_history,207,51
102900005115786,竹叶菜,花叶类,2,0.5237641090221126,3.3,sku_history,207,51
102900005115786,竹叶菜,花叶类,3,0.708462788903581,3.7,sku_history,207,51
102900005115786,竹叶菜,花叶类,4,0.9393361387554162,4.2,sku_history,207,51
102900005115823,上海青,花叶类,1,0.40781939983001725,5.8,sku_history,197,35
102900005115823,上海青,花叶类,2,0.5049103929217424,6.2,sku_history,197,35
102900005115823,上海青,花叶类,3,0.5777286377405364,6.5,sku_history,197,35
102900005115823,上海青,花叶类,4,0.7233651273781243,7.1,sku_history,197,35
102900005115823,上海青,花叶类,5,0.9660926101074376,8.1,sku_history,197,35
102900005115908,菜心,花叶类,1,0.396733794017055,6.5,sku_history,110,33
102900005115908,菜心,花叶类,2,0.43971021844834923,6.7,sku_history,110,33
102900005115908,菜心,花叶类,3,0.547151279526584,7.2,sku_history,110,33
102900005115908,菜心,花叶类,4,0.6116159161735251,7.5,sku_history,110,33
102900005115908,菜心,花叶类,5,0.8909626749769364,8.8,sku_history,110,33
102900005115946,木耳菜,花叶类,1,0.4000396728194624,4.4,sku_history,161,55
102900005115946,木耳菜,花叶类,2,0.4954969232389712,4.7,sku_history,161,55
102900005115946,木耳菜,花叶类,3,0.8136877579706672,5.7,sku_history,161,55
102900005115946,木耳菜,花叶类,4,0.972783175336515,6.2,sku_history,161,55
102900005115984,云南油麦菜,花叶类,1,0.418222006232702,3.8,sku_history,62,29
102900005115984,云南油麦菜,花叶类,2,0.5675085332045655,4.2,sku_history,62,29
102900005115984,云南油麦菜,花叶类,3,0.6794734284334629,4.5,sku_history,62,29
102900005115984,云南油麦菜,花叶类,4,0.7541166919193947,4.7,sku_history,62,29
102900005115984,云南油麦菜,花叶类,5,0.9780464823771897,5.3,sku_history,62,29
102900005116257,紫茄子(2),茄类,1,0.3815614666138749,4.9,sku_history,296,56
