risk_weight,date,daily_risk_adjusted_diagnostic,expected_profit_yuan,worst10pct_mean_profit_yuan,profit_std_yuan
0.0,2023-07-01,688.0700673379871,688.0700673379871,-126.3494215448696,389.43066350786177
0.0,2023-07-02,619.6670495971869,619.6670495971869,-87.03578157759291,336.96558722327995
0.0,2023-07-03,545.6646359717671,545.6646359717671,-90.4962220446253,303.0919643738041
0.0,2023-07-04,593.7476399921467,593.7476399921467,-136.56840885144314,333.1131946919667
0.0,2023-07-05,609.0754266944275,609.0754266944275,-317.1745996789518,414.0108124892062
0.0,2023-07-06,710.3399016618202,710.3399016618202,-239.20626457430032,427.31422050972884
0.0,2023-07-07,373.92575324332387,373.92575324332387,-487.2903166030136,405.255681540742
0.25,2023-07-01,488.19268529654687,686.1308541435955,-105.62182124459872,381.74683367341976
0.25,2023-07-02,447.59010581497563,617.8515216586758,-63.19414171612493,326.17831751005235
0.25,2023-07-03,390.6810506589034,543.675623333904,-68.30266736609833,293.31725958093966
0.25,2023-07-04,414.9270031341451,589.4670341532675,-108.69308992322226,320.5261934794993
0.25,2023-07-05,382.2336103599068,602.9110248225165,-279.79863302792256,397.6282072648797
0.25,2023-07-06,477.58198113500134,707.2948784592235,-211.5567108376649,415.1802004550781
0.25,2023-07-07,172.3855200234178,378.49584857028884,-445.9454656171953,388.54049951278324
0.5,2023-07-01,295.2792199805693,681.67370953888,-91.11526957774139,375.44571843092706
0.5,2023-07-02,294.74252483389,605.8649778717681,-16.379928203988165,302.5834492724094
0.5,2023-07-03,247.4899725938048,532.3680244870168,-37.388079299407195,278.4307728100122
0.5,2023-07-04,251.37979974213113,576.7022662910543,-73.94266680679206,303.6817698004769
0.5,2023-07-05,178.82162364086955,582.2632245319593,-224.6199772502202,372.8996508037004
0.5,2023-07-06,262.9265817059627,695.5764147302548,-169.72325131832937,395.5909753877983
0.5,2023-07-07,-9.199342716242455,380.7320250010862,-399.1307104335711,369.05310297168114
