date,category_code,category_name,available_sku_count,active_sku_count,gross_sales_qty,return_qty_abs,net_sales_qty,gross_revenue,net_revenue,gross_weighted_avg_price,sales_weighted_wholesale_price,sales_weighted_loss_rate_pct,discount_sales_share,z_gross_sales_qty_within_category,z_avg_sale_price_within_category,z_wholesale_price_within_category
2020-07-01,1011010101,花叶类,16,16,205.40200000000002,0.0,205.40200000000002,1503.7896000000005,1503.7896000000005,7.321202325196446,4.828037458252596,13.24425292840381,0.06662544668503713,0.2677112172205515,1.1351375401147983,1.497939507824964
2020-07-01,1011010201,花菜类,2,2,47.076,0.436,46.64,598.634,592.53,12.716331039170703,8.408451865069251,11.262523578893704,0.0,0.3845379589990232,1.3279330827783054,1.2374784488527106
2020-07-01,1011010402,水生根茎类,2,2,4.85,0.0,4.85,70.2838,70.2838,14.491505154639176,9.234160824742268,28.466247422680418,0.0,-1.031256759215996,1.354503324059859,1.1247391013759864
2020-07-01,1011010501,茄类,2,2,35.37400000000001,0.0,35.37400000000001,176.818,176.818,4.998529993780742,4.09137643466953,5.539220896703793,0.0,1.0932707566060331,-1.5316078507002766,-0.8759281307638803
2020-07-01,1011010504,辣椒类,9,9,76.715,0.0,76.715,759.9902000000001,759.9902000000001,9.906670142736102,5.319110343479109,7.663009189858566,0.0,-0.13579447927704677,0.340239330080467,-0.08121147521556438
2020-07-01,1011010801,食用菌,5,5,35.364999999999995,0.0,35.364999999999995,368.602,368.602,10.422790894952637,6.5019485366888174,6.556658843489326,0.005513926198218578,-0.7075372313432465,0.7628350158066516,0.7451111799205744
2020-07-02,1011010101,花叶类,17,16,198.362,0.0,198.362,1409.6647,1409.6647,7.106525947510108,4.162575241225637,12.804083846704506,0.09760942115929465,0.18686702680805872,0.9934013943177585,0.8070227257839365
2020-07-02,1011010201,花菜类,2,2,43.943,0.0,43.943,546.0320000000002,546.0320000000002,12.425915390392102,7.835918803905059,11.715571990988325,0.0,0.24719508955183547,1.2107837631589549,0.9132237360960795
2020-07-02,1011010402,水生根茎类,2,2,4.6,0.0,4.6,53.1208,53.1208,11.548000000000002,7.093747826086957,28.958347826086953,0.0,-1.039221241950469,0.5176239551760439,0.20264505191219864
2020-07-02,1011010501,茄类,2,2,32.199000000000005,0.0,32.199000000000005,172.09200000000004,172.09200000000004,5.344638032237026,2.4729606509518933,5.485105438057083,0.0,0.8584950968298996,-1.392722029039136,-1.802900440773278
2020-07-02,1011010504,辣椒类,10,10,66.064,0.0,66.064,669.7044000000001,669.7044000000001,10.137206345362076,5.704405273674013,8.147492734318236,0.0,-0.33430438564302867,0.4024332018595919,0.05479898318576623
2020-07-02,1011010801,食用菌,5,5,48.51,0.0,48.51,605.9290000000001,605.9290000000001,12.49080601937745,7.312903937332509,7.960981447124303,0.0,-0.43730203068632534,1.6173761173163854,1.3009874550394966
2020-07-03,1011010101,花叶类,16,16,191.77900000000005,1.0,190.77900000000005,1406.4065,1399.5065,7.333474989440969,4.389518977573143,13.296914677832293,0.03562433843121509,0.11127081864251416,1.1432403418642358,1.0426472766744554
2020-07-03,1011010201,花菜类,2,2,42.07599999999999,0.0,42.07599999999999,495.36799999999994,495.36799999999994,11.773172354786578,7.426066165985359,12.15487593877745,0.0,0.16535048780976722,0.9474770066909077,0.6811032553836345
2020-07-03,1011010402,水生根茎类,1,1,9.572,0.0,9.572,76.69300000000003,76.69300000000003,8.012223150856668,5.61,29.250000000000004,0.5392812369410783,-0.8808236093272689,-0.487646476697144,-0.43655637426075966
2020-07-03,1011010501,茄类,2,2,35.896,0.0,35.896,196.243,196.243,5.466987965232895,3.964099621127702,5.528335747715622,0.0,1.1318700934259196,-1.3436255935731825,-0.9488278658297908
2020-07-03,1011010504,辣椒类,10,10,64.253,0.0,64.253,670.6646000000002,670.6646000000002,10.437872161611134,6.253733677804928,8.395831789955334,0.0,-0.3680572201589231,0.4835465845351034,0.24871383179517448
2020-07-03,1011010801,食用菌,5,5,42.442,0.0,42.442,546.2950000000002,546.2950000000002,12.87156590170115,7.357773667593422,7.974879600395832,0.0,-0.562048108859486,1.7747129594935473,1.3317437931848863
2020-07-04,1011010101,花叶类,13,13,236.587,0.0,236.587,1841.4,1841.4,7.783183353269623,4.807090372674745,13.389871167900179,0.008512724705922134,0.6258257169383894,1.4401520510551564,1.4761911762288509
2020-07-04,1011010201,花菜类,2,2,55.66199999999999,0.0,55.66199999999999,702.1859999999999,702.1859999999999,12.615177320254393,8.217534763393338,11.060269483669291,0.0,0.7609266845252126,1.287129188780683,1.1293523437184987
2020-07-04,1011010402,水生根茎类,2,2,5.439,0.0,5.439,118.7532,118.7532,21.83364589078875,14.015118587975733,27.02047251332966,0.0,-1.0124924378935776,3.4419758381952104,3.184384930001051
2020-07-04,1011010501,茄类,2,2,57.06700000000001,0.0,57.06700000000001,327.403,327.403,5.737168591304957,3.114950146319239,5.623799568927751,0.0,2.697361587322146,-1.235207833568804,-1.4351911713076613
2020-07-04,1011010504,辣椒类,10,10,81.28200000000001,0.0,81.28200000000001,826.4166,826.4166,10.167276887871852,5.714687261632343,8.007519007898429,0.005462464014172879,-0.05067620471377197,0.41054560869148543,0.058428560908945826
2020-07-04,1011010801,食用菌,5,5,47.26200000000001,0.0,47.26200000000001,578.7035999999999,578.7035999999999,12.244585502094703,7.335156785578265,7.4482514493673575,0.009267487622191189,-0.46295844228159616,1.5156333642929438,1.3162408590908405
2020-07-05,1011010101,花叶类,14,13,223.89900000000003,0.0,223.89900000000003,1573.1792999999998,1573.1792999999998,7.026289978963727,4.273393271073117,12.390073917257334,0.018995171930200668,0.4801224373995112,0.9404270658955015,0.9220796510537383
2020-07-05,1011010201,花菜类,2,2,55.474000000000004,0.0,55.474000000000004,697.9820000000002,697.9820000000002,12.582146591195878,8.397157587338214,11.103209431445363,0.0,0.7526852356084972,1.2738050877826474,1.2310819225560032
2020-07-05,1011010402,水生根茎类,1,1,4.019,0.0,4.019,40.19,40.19,10.0,5.42,29.25,0.0,-1.0577306998253846,0.07750607021485609,-0.5184087408405674
2020-07-05,1011010501,茄类,3,3,61.815999999999995,0.0,61.815999999999995,411.36310000000003,411.36310000000003,6.654637957810277,4.021894978646305,6.472664520512488,0.014138734308269705,3.0485268182754863,-0.8670468183425948,-0.9157246938230444
2020-07-05,1011010504,辣椒类,10,10,98.49599999999998,0.0,98.49599999999998,1016.2365999999995,1016.2365999999995,10.317541829109809,6.041138015756986,8.21212597465887,0.004721003898635479,0.27015278112643115,0.45108396397711337,0.1736668192776517
2020-07-05,1011010801,食用菌,5,5,73.213,0.0,73.213,732.6238000000001,732.6238000000001,10.006744703809435,5.885503803969241,7.968018384713098,0.0,0.07054278953641491,0.5909172351969346,0.32256389610096164
2020-07-06,1011010101,花叶类,14,14,195.73999999999995,0.0,195.73999999999995,1511.5968,1511.5968,7.722472667824667,4.8642002145703485,12.998718606314501,0.0628435679983652,0.15675715929931458,1.4000689331247946,1.5354855240908027
2020-07-06,1011010201,花菜类,2,2,42.721000000000004,0.0,42.721000000000004,506.30380000000014,506.30380000000014,11.851403291121464,7.819140937712133,12.598840382949836,0.010393015144776573,0.19362567159318164,0.9790341937893324,0.903721573597386
2020-07-06,1011010402,水生根茎类,1,1,3.0890000000000004,0.0,3.0890000000000004,30.7757,30.7757,9.962997733894463,5.45,29.25,0.12334088701845256,-1.0873585755976243,0.06698581240016621,-0.5054846829595451
