sku_code,month,avg_daily_sales,sales_proportion,active_rate,seasonal_index,sku_name
102900005115168,1,0.6088602151,0.05456115197,0.1612903226,0.7525712851,牛首生菜
102900005115168,2,0.05953571429,0.02138687536,0.0119047619,0.0735881043,牛首生菜
102900005115168,3,1.18011828,0.08261403688,0.08602150538,1.458665073,牛首生菜
102900005115168,4,0,0,0,0,牛首生菜
102900005115168,5,3.699215054,0.4960475516,0.3870967742,4.57235168,牛首生菜
102900005115168,6,0.6927333333,0.04366370001,0.07777777778,0.8562412226,牛首生菜
102900005115168,7,0,0,0,0,牛首生菜
102900005115168,8,0,0,0,0,牛首生菜
102900005115168,9,0,0,0,0,牛首生菜
102900005115168,10,0.1470752688,0.009579316856,0.02150537634,0.1817898778,牛首生菜
102900005115168,11,0.1458444444,0.009192726499,0.01111111111,0.1802685383,牛首生菜
102900005115168,12,3.175096774,0.2829546408,0.3440860215,3.924524219,牛首生菜
102900005115199,1,0,0,0,0,四川红香椿
102900005115199,2,0.04395238095,0.008591821015,0.04761904762,0.1446871865,四川红香椿
102900005115199,3,1.826215054,0.5137806161,0.6344086022,6.011731614,四川红香椿
102900005115199,4,1.642233333,0.4493434371,0.7777777778,5.40608075,四川红香椿
102900005115199,5,0.06427956989,0.01391167552,0.06451612903,0.2116024187,四川红香椿
102900005115199,6,0,0,0,0,四川红香椿
102900005115199,7,0,0,0,0,四川红香椿
102900005115199,8,0,0,0,0,四川红香椿
102900005115199,9,0,0,0,0,四川红香椿
102900005115199,10,0,0,0,0,四川红香椿
102900005115199,11,0.06862222222,0.01437245032,0.1333333333,0.2258980299,四川红香椿
102900005115199,12,0,0,0,0,四川红香椿
102900005115250,1,2.177849462,0.059477306,0.1505376344,0.8304446027,西峡花菇(1)
102900005115250,2,8.817630952,0.2174958737,0.3214285714,3.362286586,西峡花菇(1)
102900005115250,3,4.967268817,0.1804583522,0.5161290323,1.894089399,西峡花菇(1)
102900005115250,4,4.8517,0.1734362122,0.6666666667,1.850021385,西峡花菇(1)
102900005115250,5,4.261204301,0.1585589393,0.6666666667,1.624857077,西峡花菇(1)
102900005115250,6,3.444577778,0.1232340588,0.5888888889,1.313465909,西峡花菇(1)
102900005115250,7,0.002935483871,0.0001057943938,0.01075268817,0.001119341249,西峡花菇(1)
102900005115250,8,0,0,0,0,西峡花菇(1)
102900005115250,9,1.096766667,0.03809578318,0.1777777778,0.4182125415,西峡花菇(1)
102900005115250,10,0.006193548387,0.0002232145452,0.01075268817,0.00236168703,西峡花菇(1)
102900005115250,11,1.822866667,0.04820603534,0.1111111111,0.6950846745,西峡花菇(1)
102900005115250,12,0.02112903226,0.0007084303875,0.05376344086,0.0080567969,西峡花菇(1)
102900005115748,1,0.2140215054,0.0283033222,0.06451612903,0.3242331421,白菜苔
102900005115748,2,1.912678571,0.1690529472,0.25,2.897623684,白菜苔
102900005115748,3,5.413483871,0.776014246,0.5268817204,8.201189324,白菜苔
102900005115748,4,0,0,0,0,白菜苔
102900005115748,5,0,0,0,0,白菜苔
102900005115748,6,0,0,0,0,白菜苔
102900005115748,7,0,0,0,0,白菜苔
102900005115748,8,0,0,0,0,白菜苔
102900005115748,9,0,0,0,0,白菜苔
102900005115748,10,0,0,0,0,白菜苔
102900005115748,11,0.255,0.01674283013,0.07777777778,0.3863137542,白菜苔
102900005115748,12,0.1258387097,0.009886654497,0.09677419355,0.1906400955,白菜苔
102900005115762,1,0.1885806452,0.003289903035,0.08602150538,0.04058038793,苋菜
