level,source,target,seasonal_index_corr,active_jaccard,sales_corr_春季,sales_ci_lower_春季,sales_ci_upper_春季,sales_p_春季,sales_corr_夏季,sales_ci_lower_夏季,sales_ci_upper_夏季,sales_p_夏季,sales_corr_秋季,sales_ci_lower_秋季,sales_ci_upper_秋季,sales_p_秋季,sales_corr_冬季,sales_ci_lower_冬季,sales_ci_upper_冬季,sales_p_冬季,sales_corr_全年,sales_ci_lower_全年,sales_ci_upper_全年,sales_p_全年,share_corr_春季,share_ci_lower_春季,share_ci_upper_春季,share_p_春季,share_corr_夏季,share_ci_lower_夏季,share_ci_upper_夏季,share_p_夏季,share_corr_秋季,share_ci_lower_秋季,share_ci_upper_秋季,share_p_秋季,share_corr_冬季,share_ci_lower_冬季,share_ci_upper_冬季,share_p_冬季,share_corr_全年,share_ci_lower_全年,share_ci_upper_全年,share_p_全年,sales_q_春季,share_q_春季,sales_q_夏季,share_q_夏季,sales_q_秋季,share_q_秋季,sales_q_冬季,share_q_冬季,sales_q_全年,share_q_全年,strength_label
within_cluster_4,102900005115168,102900005115748,0.0130260387,0.05434782609,0.1818273675,0.1818273675,0.1818273675,0.002426571611,0,,,1,0.2580585226,0.2580585226,0.2580585226,1.577241609e-05,-0.03113880584,-0.03113880584,-0.03113880584,0.6104631332,0.1267847298,-0.0007354327434,0.2759416368,2.580923533e-05,-0.06230006067,-0.06230006067,-0.06230006067,0.302394928,0,,,1,-0.01709744645,-0.01709744645,-0.01709744645,0.7785412653,-0.1083309174,-0.1083309174,-0.1083309174,0.07556277675,0.009963958412,-0.06795132341,0.1197167462,0.7418935832,0.01273950096,0.4884841145,1,1,0.000165610369,0.7785412653,0.8546483864,0.1220629471,0.0002709969709,0.7418935832,retained
within_cluster_4,102900005115168,102900005116837,0.2965751642,0.2020725389,0.0315731231,0.0315731231,0.0315731231,0.6014741477,0.2514793641,0.2514793641,0.2514793641,2.367681547e-05,0.03076568023,0.03076568023,0.03076568023,0.6127725189,0.06975406783,0.06975406783,0.06975406783,0.2533499396,0.08157044378,0.0007178678988,0.1680980182,0.006920444204,0.05557541962,0.05557541962,0.05557541962,0.3576725769,0.4212527743,0.4212527743,0.4212527743,2.679583618e-13,0.07213780864,0.07213780864,0.07213780864,0.2348367332,0.2690586272,0.2690586272,0.2690586272,7.342002465e-06,0.1947833761,0.09307546495,0.3041705006,8.003612303e-11,0.9341311303,0.5365088654,0.0002486065624,5.627125599e-12,0.7149012721,0.5402307463,0.6082718818,2.980737263e-05,0.01707927642,2.801264306e-10,retained
within_cluster_4,102900005115168,102900005122654,0.09361617805,0.1172413793,0.09334807037,0.09334807037,0.09334807037,0.1218255425,0,,,1,0.1408525955,0.1408525955,0.1408525955,0.01990111412,-0.08794169308,-0.08794169308,-0.08794169308,0.1495511488,-0.001190540909,-0.08765050139,0.09325391696,0.9686105857,-0.08565274158,-0.08565274158,-0.08565274158,0.1558636493,0,,,1,0.04575848652,0.04575848652,0.04575848652,0.4514621194,-0.1953384423,-0.1953384423,-0.1953384423,0.001255424263,0.04243826271,-0.06642159313,0.1571576616,0.160514376,0.319792049,0.297557876,1,1,0.06965389941,0.6320469672,0.4486534465,0.003766272789,0.9686105857,0.187266772,retained
within_cluster_4,102900005115168,102900011000571,0.09062768991,0.04273504274,-0.02974038549,-0.02974038549,-0.02974038549,0.6227540869,-0.03702021676,-0.03702021676,-0.03702021676,0.5402435424,-0.008399713718,-0.008399713718,-0.008399713718,0.8901205469,0.003428837223,0.003428837223,0.003428837223,0.9552778283,-0.03819083115,-0.1245841356,0.06454101081,0.2066675977,0.04351380202,0.04351380202,0.04351380202,0.4715460563,-0.04385707559,-0.04385707559,-0.04385707559,0.4680527827,-0.04718261415,-0.04718261415,-0.04718261415,0.4374891189,-0.1353779487,-0.1353779487,-0.1353779487,0.02612045777,-0.03859535492,-0.1029619155,0.04019889788,0.2018963681,0.9341311303,0.6601644788,1,1,0.9346265743,0.6320469672,0.9818112895,0.06094773479,0.3338476578,0.2231486174,retained
within_cluster_4,102900005115168,102900011007044,0.2883458164,0.0125,-0.004843520432,-0.004843520432,-0.004843520432,0.9361562271,-0.08325511062,-0.08325511062,-0.08325511062,0.1678158083,-0.4010937292,-0.4010937292,-0.4010937292,5.653294108e-12,-0.02553664528,-0.02553664528,-0.02553664528,0.6761436249,-0.08417255756,-0.1479954203,-0.01005465399,0.005318174554,-0.1355189338,-0.1355189338,-0.1355189338,0.02434828176,-0.02190936483,-0.02190936483,-0.02190936483,0.7170701163,-0.02356140045,-0.02356140045,-0.02356140045,0.6983374047,-0.2814738877,-0.2814738877,-0.2814738877,2.614660113e-06,-0.09684324623,-0.1391374298,-0.04524632012,0.001334279705,1,0.07304484527,0.8810329935,1,1.187191763e-10,0.7585894935,0.8874385077,1.372696559e-05,0.01595452366,0.002001419557,retained
within_cluster_4,102900005115168,102900011009277,0.4238055532,0.1710037175,0,,,1,0,,,1,-0.05608052216,-0.05608052216,-0.05608052216,0.3559669192,-0.03166601765,-0.03166601765,-0.03166601765,0.6044292148,0.01322140275,-0.08496434829,0.107910956,0.6620925016,0,,,1,0,,,1,-0.02159211495,-0.02159211495,-0.02159211495,0.7224661843,-0.02435659547,-0.02435659547,-0.02435659547,0.6903191498,0.1680438061,0.02533002659,0.3150515577,2.216712648e-08,1,1,1,1,0.5391406944,0.7585894935,0.8546483864,0.7248351073,0.8689964083,5.8188707e-08,retained
within_cluster_4,102900005115748,102900005116837,0.126880332,0.1641025641,0.04203162085,0.04203162085,0.04203162085,0.4867921287,0,,,1,0.2243903242,0.2243903242,0.2243903242,0.0001852638225,0.1038258082,0.1038258082,0.1038258082,0.08862017546,0.1071531681,0.002948217839,0.2063887888,0.0003823680277,0.1069973664,0.1069973664,0.1069973664,0.0759632898,0,,,1,0.1818869325,0.1818869325,0.1818869325,0.002555604332,0.1445146255,0.1445146255,0.1445146255,0.01749735347,0.1766298356,0.05700351188,0.2933266983,3.993353234e-09,0.8696446107,0.1994036357,1,1,0.001296846757,0.01435111825,0.3301455116,0.04593055287,0.002007432145,1.19800597e-08,retained
within_cluster_4,102900005115748,102900005122654,0.1593422682,0.1095571096,0.2643339582,0.2643339582,0.2643339582,8.549707625e-06,0,,,1,-0.08853823985,-0.08853823985,-0.08853823985,0.1445523804,-0.04031049509,-0.04031049509,-0.04031049509,0.5095336031,-0.002374550954,-0.1049163099,0.1244411126,0.9374413721,0.1997360064,0.1997360064,0.1997360064,0.000847212192,0,,,1,0.08016383676,0.08016383676,0.08016383676,0.1866438835,-0.1248516357,-0.1248516357,-0.1248516357,0.04036133836,0.05711849549,-0.06270701193,0.1930166183,0.05882757561,0.0001795438601,0.003558291207,1,1,0.3035599989,0.5402307463,0.8230927435,0.07705346413,0.9686105857,0.07266935811,retained
within_cluster_4,102900005115748,102900011000571,0.6919853344,0.1196172249,0.2144455295,0.2144455295,0.2144455295,0.00033283908,0,,,1,-0.003277747098,-0.003277747098,-0.003277747098,0.9570077316,-0.06868892226,-0.06868892226,-0.06868892226,0.2606879493,0.09988696468,0.0003996693237,0.1969325952,0.000933481507,0.4924901761,0.4924901761,0.4924901761,2.865832154e-18,0,,,1,-0.07260582632,-0.07260582632,-0.07260582632,0.2318060804,-0.04027670521,-0.04027670521,-0.04027670521,0.5098888524,0.1221330422,-0.0253718875,0.3138484435,5.077295329e-05,0.00349481034,6.018247523e-17,1,1,0.9570077316,0.5402307463,0.6082718818,0.5948703278,0.003920622329,9.693018355e-05,retained
within_cluster_4,102900005115748,102900011007044,0.4607591172,0.04484304933,0.1072975554,0.1072975554,0.1072975554,0.07513952549,0,,,1,-0.1565153113,-0.1565153113,-0.1565153113,0.009592741219,-0.008679571294,-0.008679571294,-0.008679571294,0.8871108938,0.06335388893,-0.0262102403,0.14946867,0.03606965103,-0.08587737103,-0.08587737103,-0.08587737103,0.1547776586,0,,,1,-0.03625689207,-0.03625689207,-0.03625689207,0.5508348508,-0.1308672851,-0.1308672851,-0.1308672851,0.03158327847,-0.0240785705,-0.08870302934,0.05077907039,0.4260412541,0.2629883392,0.297557876,1,1,0.04028951312,0.6820766667,0.9818112895,0.06632488479,0.07574626716,0.4473433168,retained
