date,102900005115168,102900005115199,102900005115250,102900005115748,102900005115762,102900005115779,102900005115786,102900005115793,102900005115823,102900005115854,102900005115878,102900005115885,102900005115908,102900005115946,102900005115960,102900005115984,102900005116219,102900005116226,102900005116233,102900005116257,102900005116509,102900005116530,102900005116547,102900005116714,102900005116790,102900005116837,102900005116899,102900005116912,102900005116943,102900005117209,102900005118817,102900005118824,102900005118831,102900005119944,102900005119968,102900005119975,102900005122654,102900005123880,102900005125808,102900005125815,102900011000328,102900011000571,102900011001219,102900011001691,102900011001806,102900011001813,102900011006948,102900011007044,102900011007969,102900011008164,102900011008522,102900011009246,102900011009277,102900011009970,102900011010891,102900011012994,102900011013274,102900011016701,102900011021842,102900011022764,102900051000463,102900051000944,102900051004294,102900051010455
2020-07-01,0,0,0,0,6.841,41.966,11.352,4.288,11.476,0,0,0,8.959,3.039,14.748,32.579,0,2.844,2.512,17.661,17.713,7.693,13.863,34.99,4.837,0,0,1.138,2.129,1.909,5.472,4.119,10,0.783,0,22.402,0,0.927,4.383,11.888,0,0,1.953,0,0,0,2.623,0,0,0,18.271,0,0,12.086,0,0,0,0,0,0,0,0.731,5.51,6.549
2020-07-02,0,0,0,0,8.112,44.873,11.556,4.55,6.806,0,0,0,14.275,3.124,11.228,27.056,0,1.667,3.297,14.432,17.767,17.345,17.208,30.109,10.625,0,0,1.539,1.679,1.825,0,4.342,13,2.254,0,22.549,0,1.679,4.148,10.164,5.844,0,1.394,0,0,0,0.857,0,0,0,13.548,0,0,13.834,0,0,0,0,0,0,0,0.258,4.721,4.811
2020-07-03,0,0,0,0,7.694,36.309,11.125,3.099,13.12,0,0,0,8.173,2.306,10.446,36.709,0,2.331,4.738,17.553,18.343,15.29,14.633,26.46,6.943,0,0,1.259,1.904,1.581,0,9.572,13,1.816,0,13.734,0,1.369,3.935,9.444,9.099,0,2.239,0,0,0,2.09,0,0,0,13.562,0,0,15.616,0,0,0,0,0,0,0,0,4.706,9.991
2020-07-04,0,0,0,0,0,51.205,20.571,7.091,28.186,0,0,0,13.034,4.099,9.638,43.33,0,3.948,4.948,33.045,24.022,14.532,16.702,42.815,5.251,0,0,1.596,1.703,0.693,0,3.107,15,1.378,0,0,0,0.618,3.421,13.054,10.682,0,0.945,0,0,0,0,0,0,0,15.843,0,0,12.847,0,0,0,0,0,0,0,2.332,8.509,18.431
2020-07-05,0,0,0,0,6.021,34.249,30.937,0,12.038,0,0,0,10.791,3.568,9.698,12.594,0,3.535,7.412,26.966,24.423,18.406,18.991,42.365,0,0,0,1.772,2.56,1.395,0,4.019,13,0,0,55.159,0,0.626,3.699,14.044,15.638,0,1.282,0,0,20,0,0,0,0,17.408,0,0,13.109,0,0,0,0,0,0,0,0,8.475,14.811
2020-07-06,0,0,0,0,5.854,36.532,14.131,6.496,13.458,0,0,0,10.162,3.539,14.098,11.053,0,3.896,4.308,8.96,16.434,13.35,11.911,24.434,0,0,0,1.103,2.014,1.273,0,3.089,10,1.202,0,15.903,0,1.127,3.064,9.012,10.36,0,1.234,0,0,4,5.682,0,0,0,40.201,0,0,18.287,0,0,0,0,0,0,0,0,5.11,8.631
2020-07-07,0,0,0,0,8.062,30.058,11.756,6.929,9.861,0,0,0,11.478,5.059,14.828,28.214,0,3.784,4.158,14.6,17.512,14.533,16.797,23.05,0,0.424,0,1.137,2.353,1.323,0,3.117,13,2.216,0,14.121,0,1.787,2.738,13.453,11.96,0,1.374,0,0,4,3.416,0,0,0,8.107,0,0,22.699,0,0,0,0,0,0,0,0,4.226,8.897
2020-07-08,0,0,0,0,9.079,21.339,7.927,5.33,12.569,0,0,0,8.835,4.429,6.81,9.732,0,5.554,4.67,18.588,21.082,14.827,14.446,24.641,6.102,0,8.239,0.908,2.697,1.08,0,2.366,12,1.639,0,18.985,0,0.985,3.165,12.148,20.043,0,1.859,0,0,0,1.146,0,0,0,15.712,0,0,20.792,0,0,0,0,0,0,0,0,3.772,13.7
2020-07-09,0,0,0,0,9.78,33.109,17.546,3.761,10.182,0,0,0,8.685,4.013,23.142,14.213,0,3.058,3.924,9.949,8.217,10.544,14.091,25.205,11.617,0,0,1.36,1.888,0.379,0,2.106,9,1.543,0,19.198,0,1.252,1.875,10.299,9.917,0,0.156,0,0,0,1.123,0,0,0,13.772,0,0,15.926,0,0,0,0,0,0,0,0,4.951,8.298
