date,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
2020-07-01,-0.004702328391,-0.0001496567008,0.0001563029439,2.28378441e-05,0.0005664462237,3.504031659e-06
2020-07-02,-0.004659972563,-0.0001450397405,0.0001545097212,2.227282074e-05,0.0005611897178,3.453576232e-06
2020-07-03,-0.004617613084,-0.0001404504661,0.0001527145121,2.17084989e-05,0.000555934776,3.403325484e-06
2020-07-04,-0.004575250092,-0.000135889184,0.0001509173058,2.114488119e-05,0.0005506813965,3.353280418e-06
2020-07-05,-0.004532883725,-0.002925632641,0.0001491180917,2.058196981e-05,0.00134361049,3.30344194e-06
2020-07-06,-0.004490514124,-0.0001268517578,0.0001473168597,2.001976658e-05,0.0004095812635,3.25381093e-06
2020-07-07,-0.004448141437,-0.00012237616,0.0001455135994,1.945827289e-05,0.0005349306164,3.204388251e-06
2020-07-08,-0.004405765812,0.003860395963,0.000143708301,1.889748976e-05,0.0005296834702,3.15517474e-06
2020-07-09,-0.004363387403,-0.0001135124593,0.0001419009546,1.833741783e-05,0.0005244378774,3.106171201e-06
2020-07-10,-0.004321006367,-0.000109124822,0.0001400915507,1.777805735e-05,0.0005191938362,3.057378406e-06
2020-07-11,-0.004278622863,-0.0001047669489,0.0001382800799,1.721940822e-05,0.0005139513452,3.008797114e-06
2020-07-12,-0.004236237056,-0.000100439041,0.000136466533,1.666147002e-05,0.0005087104028,2.960428019e-06
2020-07-13,-0.004193849112,-9.614128736e-05,0.000134650901,1.610424195e-05,0.0005034710081,2.912271832e-06
2020-07-14,-0.004151459202,-9.187386506e-05,0.0001328331749,1.554772294e-05,0.00049823316,2.86432922e-06
2020-07-15,-0.0041090675,-8.76369392e-05,0.0001310133462,1.499191154e-05,0.000492996858,2.816600803e-06
2020-07-16,-0.004066674181,-8.343066312e-05,0.0001291914064,1.443680606e-05,0.0004877621015,2.769087197e-06
2020-07-17,-0.004024279428,-7.925517853e-05,0.0001273673471,1.388240447e-05,0.0004825288902,2.721788978e-06
2020-07-18,-0.003981883423,-7.511061552e-05,0.0001255411603,1.332870449e-05,0.0004772972243,2.674706704e-06
2020-07-19,-0.003939486352,-7.09970927e-05,0.0001237128379,1.277570354e-05,0.000472067104,2.627840916e-06
2020-07-20,-0.003897088407,-6.691471736e-05,0.0001218823721,1.222339883e-05,0.0004668385296,2.581192126e-06
2020-07-21,-0.003854689779,-6.286358545e-05,0.0001200497555,1.167178728e-05,0.0004616115018,2.53476079e-06
2020-07-22,-0.003812290665,-5.884378177e-05,0.0001182149805,1.112086557e-05,0.0004563860215,2.488547362e-06
2020-07-23,-0.003769891264,-5.485538005e-05,0.0001163780399,1.057063018e-05,0.00045116209,2.442552307e-06
2020-07-24,-0.003727491778,-5.0898443e-05,0.0001145389264,1.002107736e-05,0.0004459397084,2.396776004e-06
2020-07-25,-0.003685092412,-0.002287503185,0.0001126976333,9.472203145e-06,0.0004407188783,2.351218853e-06
2020-07-26,-0.003642693374,-4.307915977e-05,0.0001108541537,8.924003386e-06,0.0004354996017,2.305881215e-06
