category_name,month,avg_daily_sales,sales_proportion,active_rate,seasonal_index
水生根茎类,1,65.50832258,0.1528488673,1,1.766940477
水生根茎类,2,48.39384524,0.1037637204,1,1.305315731
水生根茎类,3,27.05458065,0.0638993083,1,0.7297367991
水生根茎类,4,15.50576667,0.03452581259,1,0.4182333736
水生根茎类,5,9.539913978,0.02135212131,1,0.2573178413
水生根茎类,6,13.31634444,0.02937225348,1,0.3591786063
水生根茎类,7,29.46813978,0.0618214633,1,0.7948371584
水生根茎类,8,48.4717957,0.1058590428,1,1.307418271
水生根茎类,9,41.92427778,0.09296040449,1,1.13081362
水生根茎类,10,53.0996129,0.1210142168,1,1.432243289
水生根茎类,11,39.9118,0.08948295544,0.9666666667,1.076531533
水生根茎类,12,52.69883871,0.1230998338,0.9677419355,1.421433301
花叶类,1,192.0177527,0.08868517299,1,1.059598748
花叶类,2,173.477381,0.07341951206,1,0.957288652
花叶类,3,149.6298495,0.07004387555,1,0.8256924108
花叶类,4,150.5976667,0.06881042866,1,0.8310330519
花叶类,5,151.6650215,0.07115902755,1,0.8369229648
花叶类,6,147.7453333,0.06898631586,1,0.8152932112
花叶类,7,187.0853548,0.09139276481,1,1.032380626
花叶类,8,263.6132903,0.1259083083,1,1.454679624
花叶类,9,208.2056556,0.09475201855,1,1.148927372
花叶类,10,206.8741075,0.09503990205,1,1.141579579
花叶类,11,166.0489222,0.07104468646,0.9666666667,0.9162966841
花叶类,12,177.6487204,0.08075798713,0.9677419355,0.9803070762
花菜类,1,44.12858065,0.104052226,1,1.156724334
花菜类,2,40.92053571,0.08315190235,1,1.072633171
花菜类,3,27.7396129,0.06033943251,0.9892473118,0.7271270633
花菜类,4,28.14828889,0.05782688406,1,0.7378395188
花菜类,5,29.08509677,0.06634014644,1,0.7623956786
花菜类,6,27.72232222,0.06093683691,1,0.7266738298
花菜类,7,48.07790323,0.1125689779,1,1.260246302
花菜类,8,52.97745161,0.1135756301,1,1.388676149
花菜类,9,39.935,0.08565279828,1,1.046799729
花菜类,10,42.06113978,0.09145714722,1,1.102531357
花菜类,11,43.16153333,0.0883313277,0.9666666667,1.13137552
花菜类,12,33.83783871,0.07576669041,0.9677419355,0.886977348
茄类,1,19.35443011,0.08524911741,0.9892473118,0.9444983268
茄类,2,22.02672619,0.08016429804,1,1.074906671
茄类,3,16.78983871,0.07073982824,1,0.8193459834
茄类,4,20.31886667,0.08462202173,1,0.9915629374
茄类,5,26.63984946,0.1144105713,1,1.300027596
茄类,6,28.54322222,0.1179532826,1,1.392912397
茄类,7,31.19269892,0.1256039268,1,1.522207153
茄类,8,29.4213871,0.1208747531,1,1.43576694
茄类,9,16.87164444,0.06237309208,0.7888888889,0.8233381123
茄类,10,15.07682796,0.05803152391,0.8494623656,0.7357508694
茄类,11,10.41332222,0.04190812527,0.9666666667,0.5081712745
茄类,12,9.252268817,0.03806945948,0.9666666667,0.4515117401
辣椒类,1,109.7358172,0.111823009,1,1.308974347
辣椒类,2,115.2974881,0.1103371693,1,1.375316264
辣椒类,3,95.8688172,0.09944047371,1,1.143563019
辣椒类,4,82.13691111,0.08331413701,1,0.9797631469
辣椒类,5,71.16666667,0.07387064498,1,0.8489055206
辣椒类,6,66.05065556,0.06504366254,1,0.7878796179
辣椒类,7,66.02316129,0.07025574971,1,0.7875516549
辣椒类,8,106.3113548,0.1054238509,1,1.268125939
辣椒类,9,75.11392222,0.07317069818,1,0.8959900222
辣椒类,10,85.48090323,0.0828167992,1,1.019651672
辣椒类,11,68.47358889,0.06242342088,0.9666666667,0.8167813717
辣椒类,12,64.34194624,0.06208038452,0.9677419355,0.7674974243
食用菌,1,105.6698817,0.1296667973,1,1.518261246
食用菌,2,90.41034524,0.09826929987,1,1.299012748
食用菌,3,61.63672043,0.07115652657,1,0.8855942908
食用菌,4,52.04912222,0.05911070695,1,0.7478400077
食用菌,5,43.59913978,0.05162197364,1,0.6264309491
食用菌,6,43.48392222,0.05326845049,1,0.6247755071
食用菌,7,48.54641935,0.06072848094,1,0.6975132927
食用菌,8,56.97048387,0.07366983554,1,0.8185499635
食用菌,9,56.2601,0.06917456498,1,0.8083431924
食用菌,10,91.91234409,0.1089207228,1,1.320593416
食用菌,11,90.66405556,0.1068311308,0.9666666667,1.302658049
食用菌,12,93.98876344,0.1175815101,0.9677419355,1.350427338
