sku_code,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
102900005115168,1.36953386,0.1339160855,1.327243843,0,4.160396876,0.7790965256,0,0,0,0.3308223393,0.3280537964,3.570936674
102900005115199,0,0.4061227439,5.624780368,5.058112841,0.5939472387,0,0,0,0,0,0.3170368087,0
102900005115250,0.9202129453,3.725738757,1.399222841,2.05000264,1.200332539,1.455447274,0.001240338373,0,0.463419948,0.005233955332,0.7702210521,0.008927710268
102900005115748,0.8635717471,2.572537703,7.281093421,0,0,0,0,0,0,0,1.02891901,0.2538781189
102900005115762,0.05835323388,0.1767972368,1.0526651,2.469401262,2.236858438,2.036125118,1.40908187,1.152810757,0.6926802657,0.6774139016,0.0378128157,0
102900005115779,0.5814954314,0.6918705192,1.091425289,0.6791188324,0.8133360663,1.004367401,2.148612409,1.543125647,1.323624206,1.134316559,0.5637136156,0.4249940248
102900005115786,0.06966096078,0.1932841984,0.2182033611,1.160699503,2.454455663,2.945923767,2.280526862,1.236171859,1.021821747,0.37333507,0.03191066212,0.01400634627
102900005115793,0.06110643326,0.2699246662,0.33648576,0.2577861665,1.547208128,1.79628387,2.450580322,2.078146635,1.653880434,0.9112877959,0.4713223662,0.1659874227
102900005115823,0.6947427073,1.195284505,1.076005081,1.03842032,0.8960046807,0.793559324,1.353225037,1.818213052,1.685129757,0.6873273192,0.4024942225,0.3595939943
102900005115854,0.5194467333,1.620408686,1.771381851,2.993194145,2.390860832,0,0,0,0.3060025499,1.534708958,0.8639962442,0
102900005115878,1.403813065,1.599752169,0.9249975565,0.5650478962,0.3413593343,0,0,0,0.6120831652,2.239107456,2.515930294,1.797909064
102900005115885,0.4070788547,2.74480031,2.418438703,2.0011384,0.22575226,0,0,0,0.7689479012,1.335585368,1.189242962,0.9090152399
102900005115908,0.5347084165,0.8355447688,0.4011284993,0.5037792824,0.720977818,0.9578534277,2.086169926,2.019199754,1.377162708,1.101343066,0.7979451592,0.6641871733
102900005115946,0.04599914523,0,0,0.6386267432,2.398287784,2.322562326,2.550389514,1.667812011,1.78800532,0.5883171569,0,0
102900005115960,1.739891687,1.364942418,0.6688180373,0.6201913974,0.470545872,0.326891677,0.6106996192,0.6552096221,0.62237919,0.9739328387,1.672272053,2.274225588
102900005115984,0.6728361081,1.271675294,1.337208208,0.4581422194,1.079711302,0.6180716788,1.727148202,1.747918599,1.24567246,0.7419343072,0.5401213343,0.5595602879
102900005116219,1.884999516,1.91318168,0.7245306639,0.5801514883,1.504528371,1.813667118,1.56588196,0.4205745047,0.005894637615,1.053236614,0.2346567442,0.2986967022
102900005116226,1.695407409,1.452691804,0.9765579853,0.6081863593,0.7739787485,0.2119518933,1.236723058,1.452674878,1.340603071,0.7956963611,0.5364338526,0.9190945803
102900005116233,2.414924346,2.521415993,0.5876344973,0.5808516454,0.7714331955,0.4695454489,0.6959182951,0.637185834,1.467730189,0.6105356607,0.5598367341,0.6829881609
102900005116257,1.193490047,1.360909478,1.050344848,1.167727308,1.515960078,1.278733991,1.154536799,0.9164496415,0.6018658229,0.6169595229,0.5699330536,0.5730894094
102900005116509,0.7250262535,0.6520258521,0.6360543897,0.6362174315,1.088619616,2.040951464,2.526108508,1.414535554,1.010831662,0.632602331,0.386237727,0.2507892106
102900005116530,1.810338656,0.5758268106,0.5360670023,0.4679778483,0.4263075245,0.4273720436,0.9814122783,0.9232948974,0.8178876339,1.61059736,1.567790898,1.855127046
102900005116547,0.9362382927,1.193394913,0.8048830485,0.9023410744,0.655652197,0.4021781993,1.597908287,1.384958961,1.186819459,1.186459366,0.987040512,0.7621256907
102900005116714,1.247055225,1.127288168,0.6540687053,0.7096329409,0.8195640739,0.8281409534,1.243504645,1.292379364,1.0095452,1.051772919,1.173455807,0.8435919977
102900005116790,0.9686709673,0.5822311004,0.75738201,0.628835108,0.7353995021,0.6032071315,0.9396780095,1.541958803,1.149318525,2.846756462,0.7493255178,0.4972368639
