date,weekday,category_code,category_name,demand_scenario_low_p10_recent30,demand_scenario_base_p50_recent30,demand_scenario_high_p90_recent30,cost_scenario_low_p10_recent30,cost_scenario_base_p50_recent30,cost_scenario_high_p90_recent30,scenario_note
2023-07-01,Saturday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-02,Sunday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-03,Monday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-04,Tuesday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-05,Wednesday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-06,Thursday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-07,Friday,1011010101,花叶类,118.13850000000001,138.503,223.89640000000003,3.131370472021985,3.44219343637232,3.591785740671959,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-01,Saturday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-02,Sunday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-03,Monday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-04,Tuesday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-05,Wednesday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-06,Thursday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-07,Friday,1011010201,花菜类,9.7515,16.4345,26.768500000000003,7.936863851603946,9.60215113269897,10.336360653950955,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-01,Saturday,1011010402,水生根茎类,10.29,15.934999999999999,23.753500000000006,9.112823105961642,11.145231671443973,13.020624858739987,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-02,Sunday,1011010402,水生根茎类,10.29,15.934999999999999,23.753500000000006,9.112823105961642,11.145231671443973,13.020624858739987,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
2023-07-03,Monday,1011010402,水生根茎类,10.29,15.934999999999999,23.753500000000006,9.112823105961642,11.145231671443973,13.020624858739987,仅用于鲁棒/敏感性场景，不作为2023-07-01至07-07真实观测或最终预测
